18-Feb-2015 14:32:36:904, INFO, getting County Level META Control: Number of Households by Persons per Households simple incidence table.
18-Feb-2015 14:32:37:009, INFO, getting County Level META Control: Number of Households by number of workers simple incidence table.
18-Feb-2015 14:32:37:109, INFO, getting County Level META Control: Number of persons by age group count incidence table.
18-Feb-2015 14:32:37:306, INFO, getting County Level META Control: Number of persons by occupation category count incidence table.
18-Feb-2015 14:32:37:514, INFO, combining final incidence tables.
18-Feb-2015 14:32:37:515, INFO, balancing incidence table 0 has 1913 rows and 1 columns.  Input table columns [ 0 ] were added to final incidence.
18-Feb-2015 14:32:37:516, INFO, balancing incidence table 1 has 1913 rows and 4 columns.  Input table columns [ 0 1 2 3 ] were added to final incidence.
18-Feb-2015 14:32:37:517, INFO, balancing incidence table 2 has 1913 rows and 4 columns.  Input table columns [ 0 1 2 3 ] were added to final incidence.
18-Feb-2015 14:32:37:518, INFO, balancing incidence table 3 has 1913 rows and 4 columns.  Input table columns [ 0 1 2 3 ] were added to final incidence.
18-Feb-2015 14:32:37:520, INFO, balancing incidence table 4 has 1913 rows and 3 columns.  Input table columns [ 0 1 2 ] were added to final incidence.
18-Feb-2015 14:32:37:520, INFO, balancing incidence table 5 has 1913 rows and 6 columns.  Input table columns [ 0 1 2 3 4 5 ] were added to final incidence.
18-Feb-2015 14:32:37:521, INFO, balancing incidence table total households control index = 0.
18-Feb-2015 14:32:37:621, INFO, getting MAZ Level Control: Total Number of Households simple incidence table.
18-Feb-2015 14:32:37:796, INFO, getting TAZ Level Control: Number of Households by Household Income simple incidence table.
18-Feb-2015 14:32:37:971, INFO, getting County Level META Control: Number of Households by Persons per Households simple incidence table.
18-Feb-2015 14:32:38:147, INFO, getting County Level META Control: Number of Households by number of workers simple incidence table.
18-Feb-2015 14:32:38:299, INFO, getting County Level META Control: Number of persons by age group count incidence table.
18-Feb-2015 14:32:38:589, INFO, getting County Level META Control: Number of persons by occupation category count incidence table.
18-Feb-2015 14:32:38:909, INFO, combining final incidence tables.
18-Feb-2015 14:32:38:910, INFO, balancing incidence table 0 has 2043 rows and 1 columns.  Input table columns [ 0 ] were added to final incidence.
18-Feb-2015 14:32:38:912, INFO, balancing incidence table 1 has 2043 rows and 4 columns.  Input table columns [ 0 1 2 3 ] were added to final incidence.
18-Feb-2015 14:32:38:913, INFO, balancing incidence table 2 has 2043 rows and 4 columns.  Input table columns [ 0 1 2 3 ] were added to final incidence.
18-Feb-2015 14:32:38:915, INFO, balancing incidence table 3 has 2043 rows and 4 columns.  Input table columns [ 0 1 2 3 ] were added to final incidence.
18-Feb-2015 14:32:38:916, INFO, balancing incidence table 4 has 2043 rows and 3 columns.  Input table columns [ 0 1 2 ] were added to final incidence.
18-Feb-2015 14:32:38:918, INFO, balancing incidence table 5 has 2043 rows and 6 columns.  Input table columns [ 0 1 2 3 4 5 ] were added to final incidence.
18-Feb-2015 14:32:38:919, INFO, balancing incidence table total households control index = 0.
18-Feb-2015 14:32:39:021, INFO, getting MAZ Level Control: Total Number of Households simple incidence table.
18-Feb-2015 14:32:39:203, INFO, getting TAZ Level Control: Number of Households by Household Income simple incidence table.
18-Feb-2015 14:32:39:359, INFO, getting County Level META Control: Number of Households by Persons per Households simple incidence table.
18-Feb-2015 14:32:39:504, INFO, getting County Level META Control: Number of Households by number of workers simple incidence table.
18-Feb-2015 14:32:39:657, INFO, getting County Level META Control: Number of persons by age group count incidence table.
18-Feb-2015 14:32:39:956, INFO, getting County Level META Control: Number of persons by occupation category count incidence table.
18-Feb-2015 14:32:40:257, INFO, combining final incidence tables.
18-Feb-2015 14:32:40:259, INFO, balancing incidence table 0 has 2562 rows and 1 columns.  Input table columns [ 0 ] were added to final incidence.
18-Feb-2015 14:32:40:262, INFO, balancing incidence table 1 has 2562 rows and 4 columns.  Input table columns [ 0 1 2 3 ] were added to final incidence.
18-Feb-2015 14:32:40:263, INFO, balancing incidence table 2 has 2562 rows and 4 columns.  Input table columns [ 0 1 2 3 ] were added to final incidence.
18-Feb-2015 14:32:40:265, INFO, balancing incidence table 3 has 2562 rows and 4 columns.  Input table columns [ 0 1 2 3 ] were added to final incidence.
18-Feb-2015 14:32:40:267, INFO, balancing incidence table 4 has 2562 rows and 3 columns.  Input table columns [ 0 1 2 ] were added to final incidence.
18-Feb-2015 14:32:40:268, INFO, balancing incidence table 5 has 2562 rows and 6 columns.  Input table columns [ 0 1 2 3 4 5 ] were added to final incidence.
18-Feb-2015 14:32:40:270, INFO, balancing incidence table total households control index = 0.
18-Feb-2015 14:32:40:381, INFO, getting MAZ Level Control: Total Number of Households simple incidence table.
18-Feb-2015 14:32:40:534, INFO, getting TAZ Level Control: Number of Households by Household Income simple incidence table.
18-Feb-2015 14:32:40:718, INFO, getting County Level META Control: Number of Households by Persons per Households simple incidence table.
18-Feb-2015 14:32:40:911, INFO, getting County Level META Control: Number of Households by number of workers simple incidence table.
18-Feb-2015 14:32:41:100, INFO, getting County Level META Control: Number of persons by age group count incidence table.
18-Feb-2015 14:32:41:400, INFO, getting County Level META Control: Number of persons by occupation category count incidence table.
18-Feb-2015 14:32:41:668, INFO, combining final incidence tables.
18-Feb-2015 14:32:41:669, INFO, balancing incidence table 0 has 2569 rows and 1 columns.  Input table columns [ 0 ] were added to final incidence.
18-Feb-2015 14:32:41:670, INFO, balancing incidence table 1 has 2569 rows and 4 columns.  Input table columns [ 0 1 2 3 ] were added to final incidence.
18-Feb-2015 14:32:41:671, INFO, balancing incidence table 2 has 2569 rows and 4 columns.  Input table columns [ 0 1 2 3 ] were added to final incidence.
18-Feb-2015 14:32:41:672, INFO, balancing incidence table 3 has 2569 rows and 4 columns.  Input table columns [ 0 1 2 3 ] were added to final incidence.
18-Feb-2015 14:32:41:673, INFO, balancing incidence table 4 has 2569 rows and 3 columns.  Input table columns [ 0 1 2 ] were added to final incidence.
18-Feb-2015 14:32:41:674, INFO, balancing incidence table 5 has 2569 rows and 6 columns.  Input table columns [ 0 1 2 3 4 5 ] were added to final incidence.
18-Feb-2015 14:32:41:674, INFO, balancing incidence table total households control index = 0.
18-Feb-2015 14:32:41:787, INFO, getting MAZ Level Control: Total Number of Households simple incidence table.
18-Feb-2015 14:32:41:966, INFO, getting TAZ Level Control: Number of Households by Household Income simple incidence table.
18-Feb-2015 14:32:42:146, INFO, getting County Level META Control: Number of Households by Persons per Households simple incidence table.
18-Feb-2015 14:32:42:333, INFO, getting County Level META Control: Number of Households by number of workers simple incidence table.
18-Feb-2015 14:32:42:488, INFO, getting County Level META Control: Number of persons by age group count incidence table.
18-Feb-2015 14:32:42:773, INFO, getting County Level META Control: Number of persons by occupation category count incidence table.
18-Feb-2015 14:32:43:050, INFO, combining final incidence tables.
18-Feb-2015 14:32:43:051, INFO, balancing incidence table 0 has 2103 rows and 1 columns.  Input table columns [ 0 ] were added to final incidence.
18-Feb-2015 14:32:43:051, INFO, balancing incidence table 1 has 2103 rows and 4 columns.  Input table columns [ 0 1 2 3 ] were added to final incidence.
18-Feb-2015 14:32:43:052, INFO, balancing incidence table 2 has 2103 rows and 4 columns.  Input table columns [ 0 1 2 3 ] were added to final incidence.
18-Feb-2015 14:32:43:054, INFO, balancing incidence table 3 has 2103 rows and 4 columns.  Input table columns [ 0 1 2 3 ] were added to final incidence.
