MAZ,2010 HH
11557,109
11558,86
11560,48
11569,172
11574,20
11578,66
11579,47
11582,32
11586,83
11587,0
11588,0
11589,0
11590,252
11591,0
11594,0
11597,77
11598,66
11599,79
11600,77
11601,112
11602,46
11603,52
11604,53
11605,66
11606,50
11610,68
11611,25
11612,48
11613,90
11614,46
11615,83
11616,0
11617,132
11618,0
11620,2
11622,30
11623,0
11625,65
11626,31
11627,89
11628,42
11629,49
11630,46
11631,57
11632,71
11633,49
11634,51
11635,77
11638,50
11640,52
11641,41
11642,68
11643,61
11646,34
11647,55
11648,76
11649,97
11653,27
11656,20
11658,54
11661,112
11664,79
11666,77
11667,42
11669,38
11670,60
11673,35
11674,398
11676,684
11677,37
11678,135
11679,345
11680,57
11681,78
11682,78
11683,69
11684,51
11685,58
11686,133
11687,81
11692,40
11693,0
11694,788
11697,85
11698,59
11699,50
11701,1
11703,0
11708,13
11715,17
11716,48
11717,60
11719,28
11726,78
11727,51
11728,42
11730,191
11731,0
11735,8
11736,131
11737,90
11741,43
11744,54
11746,78
11747,57
11752,61
11754,97
11756,515
11757,418
11759,30
11762,76
11764,70
11767,67
11768,78
11769,49
11770,49
11771,127
11773,149
11774,0
11785,0
11786,0
11790,313
11792,37
11794,85
11795,56
11796,57
11797,63
11798,58
11799,0
11800,58
11801,61
11802,53
11803,53
11804,24
11805,41
11806,106
11807,63
11809,67
11814,19
11816,29
11817,62
11818,74
11819,23
11820,76
11821,47
11822,9
11823,50
11824,39
11826,1
11828,32
11831,251
11839,274
11842,31
11843,91
11845,92
11846,80
11847,137
11848,47
11851,51
11852,37
11853,60
11854,60
11855,50
11856,52
11861,75
11864,125
11867,29
11868,20
11869,21
11871,0
11874,166
11879,0
11881,32
11882,69
11884,76
11887,108
11888,86
11889,54
11890,80
11891,50
11892,83
11893,98
11894,55
11895,56
11897,34
11901,108
11902,65
11903,61
11907,103
11908,94
11911,75
11912,126
11913,54
11914,82
11915,52
11916,96
11917,165
11920,156
11921,141
11922,142
11923,147
11924,61
11925,102
11927,0
11929,92
11930,147
11932,95
11933,93
11934,103
11937,91
11938,69
11939,104
11940,40
11941,39
11942,58
11943,78
11944,75
11945,59
11946,39
11947,44
11948,44
11949,51
11950,42
11951,42
11952,41
11953,39
11954,37
11957,46
11961,36
11964,53
11965,55
11966,57
11967,145
11969,105
11972,179
11973,84
11974,83
11975,92
11976,95
11977,56
11978,55
11979,102
11983,0
11984,138
11985,125
11988,70
11989,65
11991,2
11992,19
11993,57
11997,94
11998,90
11999,89
12001,196
12002,196
12003,120
12004,200
12005,145
12006,118
12007,104
12008,119
12009,25
12010,95
12011,75
12012,113
12014,149
12016,101
12017,58
12020,86
12023,301
12027,27
12028,42
12035,103
12036,93
12037,102
12039,37
12040,41
12041,52
12045,60
12046,0
12050,0
12052,38
12054,72
12057,45
12060,123
12064,198
12070,28
12071,36
12072,80
12073,276
12074,129
12075,374
12078,28
12079,35
12083,60
12084,46
12086,100
12091,21
12092,0
12093,43
12094,92
12095,55
12096,63
12097,46
12098,46
12099,80
12103,60
12104,119
12107,0
12110,37
12113,0
12114,0
12119,184
12120,153
12121,94
12122,146
12123,137
12124,84
12127,439
12130,143
12131,263
12132,231
12133,471
12134,131
12135,7
12136,79
12137,82
12138,120
12139,73
12140,151
12141,76
12142,76
12143,63
12144,75
12145,80
12146,43
12147,64
12149,17
12153,335
12156,48
12157,59
12159,38
12160,75
12161,54
12162,21
12163,50
12164,47
12168,52
12169,70
12170,28
12171,43
12172,92
12173,125
12176,62
12178,75
12179,43
12180,79
12181,97
12182,195
12188,201
12191,192
12192,112
12193,157
12194,207
12195,210
12196,423
12197,486
12201,123
12202,101
12203,101
12204,84
12205,86
12207,71
12208,73
12209,115
12210,134
12211,94
12212,71
12214,79
12215,68
12216,62
12217,61
12219,62
12221,333
12222,142
12223,84
12225,72
12226,150
12227,223
12229,97
12230,122
12232,285
12233,90
12236,52
12237,53
12238,51
12241,49
12242,76
12243,80
12245,58
12246,33
12248,73
12251,38
12252,33
12259,15
12270,0
12271,190
12274,0
12278,28
12280,39
12281,41
12282,27
12283,54
12284,1
12285,9
12286,17
12288,231
12290,9
12291,31
12293,92
12295,17
12303,122
12305,229
12306,142
12307,197
12309,90
12310,84
12311,512
12312,310
12314,58
12315,53
12316,52
12317,54
12318,67
12319,42
12320,53
12321,38
12322,37
12323,48
12324,60
12325,49
12326,73
12327,72
12328,91
12329,27
12330,32
12331,50
12333,54
12339,0
12341,188
12342,0
12343,77
12344,72
12346,765
12348,7
12349,1
12353,33
12354,183
12356,10
12358,52
12361,43
12362,49
12363,43
12364,63
12365,47
12366,47
12368,43
12369,38
12370,33
12372,39
12373,32
12377,34
12382,57
12383,39
12384,48
12387,30
12390,0
12391,203
12392,107
12393,106
12394,236
12395,39
12397,0
12398,98
12400,117
12401,82
12402,103
12409,22
12410,52
12412,90
12414,182
12415,141
12418,53
12419,53
12421,24
12423,1
12427,146
12428,271
12430,0
12431,19
12433,61
12434,152
12435,71
12436,122
12438,91
12439,144
12440,60
12442,0
12446,146
