TAZ,"Less than $30,000","$30,000 to $59,999","$60,000 to $99,999","$100,000 or more"
1330,282,384,348,383
1331,606,654,462,275
1332,723,435,496,342
1333,317,285,467,254
1334,253,355,547,364
1335,711,678,692,492
1336,1075,1011,1615,1351
1337,1072,758,681,294
1338,480,355,446,183
1339,344,560,594,359
1340,528,550,759,503
1341,201,321,739,600
1342,314,510,429,175
1343,638,466,447,148
1344,1020,682,446,123
1345,548,481,410,146
1346,655,455,563,389
1347,363,442,601,463
1348,1596,910,565,192
1349,775,550,562,267
1350,843,826,718,541
1351,274,305,546,235
1352,139,261,331,630
1353,1103,1131,650,809
1354,494,760,832,1127
1355,576,411,358,136
1356,1129,708,657,376
1357,480,404,442,315
1358,927,928,663,452
1359,647,621,575,268
1360,647,418,179,83
1361,569,249,122,40
1362,851,428,322,153
1363,519,204,207,91
1364,645,637,393,133
1365,544,389,547,422
1366,564,716,1001,1827
1367,673,428,475,503
1368,595,449,470,394
1369,457,406,709,399
1370,966,887,1105,500
1371,341,488,750,311
1372,557,378,377,208
1373,1327,845,490,83
1374,1012,750,447,217
1375,976,718,716,389
1376,803,548,418,228
1377,694,642,427,183
1378,1122,680,521,159
1379,475,442,379,80
1380,630,620,578,303
1381,979,1266,912,353
1382,557,567,883,402
1383,680,436,575,528
1384,932,771,556,371
1385,612,355,397,355
1386,560,398,371,291
1387,491,405,420,473
1388,370,317,446,442
1389,582,424,398,376
1390,867,492,314,152
1391,756,534,384,136
1392,588,417,437,356
1393,595,376,305,292
1394,550,864,941,596
1395,1109,707,744,476
1396,685,732,1243,998
1397,689,672,391,396
1398,493,436,401,249
1399,555,433,333,147
1400,162,253,236,430
1401,368,342,386,306
1402,1531,912,829,429
1403,708,491,443,336
1404,125,169,248,512
1405,201,204,369,248
1406,70,100,152,344
1407,816,747,474,523
1408,411,539,589,838
1409,660,653,888,846
1410,628,614,602,221
1411,623,662,657,597
1412,1254,978,976,864
1413,132,184,251,363
1414,383,459,746,1116
1415,443,363,235,379
1416,330,200,182,180
1417,69,0,28,50
1418,514,331,355,426
1419,422,336,296,323
1420,561,474,613,1112
1421,977,690,641,684
1422,480,588,702,832
1423,481,459,466,958
1424,445,505,660,414
1425,479,340,654,600
1426,284,295,329,1312
1427,755,467,504,855
1428,1184,752,498,286
1429,591,454,400,391
1430,858,660,591,536
1431,1116,628,854,962
1432,531,473,542,716
1433,261,172,342,323
1434,464,602,671,568
1435,121,92,194,391
1436,116,136,233,1389
1437,667,607,719,1141
1438,429,477,698,811
1439,0,0,0,0
1440,611,623,606,987
1441,393,540,484,780
1442,321,378,460,1193
1443,608,409,285,750
1444,493,436,408,575
1445,210,238,422,1389
1446,381,496,461,1151
1447,46,53,115,680
1448,858,754,1015,1830
1449,520,191,200,139
1450,392,351,555,1411
1451,251,345,415,915
1452,416,300,379,894
1453,82,26,61,93
1454,312,235,217,305
