14-Oct-2016 16:21:20:542, INFO, balancing incidence table total households control index = 0.
14-Oct-2016 16:21:21:674, INFO, getting MAZ Level Control: Total Number of Households simple incidence table.
14-Oct-2016 16:21:22:682, INFO, getting TAZ Level Control: Number of Households by Household Income simple incidence table.
14-Oct-2016 16:21:23:568, INFO, getting County Level META Control: Number of Households by Persons per Households simple incidence table.
14-Oct-2016 16:21:24:578, INFO, getting County Level META Control: Number of Households by number of workers simple incidence table.
14-Oct-2016 16:21:25:518, INFO, getting County Level META Control: Number of persons by age group count incidence table.
14-Oct-2016 16:21:27:857, INFO, getting County Level META Control: Number of persons by occupation category count incidence table.
14-Oct-2016 16:21:30:015, INFO, combining final incidence tables.
14-Oct-2016 16:21:30:016, INFO, balancing incidence table 0 has 2570 rows and 1 columns.  Input table columns [ 0 ] were added to final incidence.
14-Oct-2016 16:21:30:019, INFO, balancing incidence table 1 has 2570 rows and 4 columns.  Input table columns [ 0 1 2 3 ] were added to final incidence.
14-Oct-2016 16:21:30:019, INFO, balancing incidence table 2 has 2570 rows and 4 columns.  Input table columns [ 0 1 2 3 ] were added to final incidence.
14-Oct-2016 16:21:30:019, INFO, balancing incidence table 3 has 2570 rows and 4 columns.  Input table columns [ 0 1 2 3 ] were added to final incidence.
14-Oct-2016 16:21:30:019, INFO, balancing incidence table 4 has 2570 rows and 3 columns.  Input table columns [ 0 1 2 ] were added to final incidence.
14-Oct-2016 16:21:30:020, INFO, balancing incidence table 5 has 2570 rows and 6 columns.  Input table columns [ 0 1 2 3 4 5 ] were added to final incidence.
14-Oct-2016 16:21:30:020, INFO, balancing incidence table total households control index = 0.
14-Oct-2016 16:21:31:161, INFO, getting MAZ Level Control: Total Number of Households simple incidence table.
14-Oct-2016 16:21:31:946, INFO, getting TAZ Level Control: Number of Households by Household Income simple incidence table.
14-Oct-2016 16:21:32:835, INFO, getting County Level META Control: Number of Households by Persons per Households simple incidence table.
14-Oct-2016 16:21:33:706, INFO, getting County Level META Control: Number of Households by number of workers simple incidence table.
14-Oct-2016 16:21:34:570, INFO, getting County Level META Control: Number of persons by age group count incidence table.
14-Oct-2016 16:21:36:734, INFO, getting County Level META Control: Number of persons by occupation category count incidence table.
14-Oct-2016 16:21:38:853, INFO, combining final incidence tables.
14-Oct-2016 16:21:38:854, INFO, balancing incidence table 0 has 1227 rows and 1 columns.  Input table columns [ 0 ] were added to final incidence.
14-Oct-2016 16:21:38:857, INFO, balancing incidence table 1 has 1227 rows and 4 columns.  Input table columns [ 0 1 2 3 ] were added to final incidence.
14-Oct-2016 16:21:38:857, INFO, balancing incidence table 2 has 1227 rows and 4 columns.  Input table columns [ 0 1 2 3 ] were added to final incidence.
14-Oct-2016 16:21:38:857, INFO, balancing incidence table 3 has 1227 rows and 4 columns.  Input table columns [ 0 1 2 3 ] were added to final incidence.
14-Oct-2016 16:21:38:857, INFO, balancing incidence table 4 has 1227 rows and 3 columns.  Input table columns [ 0 1 2 ] were added to final incidence.
14-Oct-2016 16:21:38:857, INFO, balancing incidence table 5 has 1227 rows and 6 columns.  Input table columns [ 0 1 2 3 4 5 ] were added to final incidence.
14-Oct-2016 16:21:38:858, INFO, balancing incidence table total households control index = 0.
14-Oct-2016 16:21:40:019, INFO, getting MAZ Level Control: Total Number of Households simple incidence table.
