20-Feb-2015 11:39:11:842, INFO, getting MAZ Level Control: Total Number of Households simple incidence table.
20-Feb-2015 11:39:12:014, INFO, getting TAZ Level Control: Number of Households by Household Income simple incidence table.
20-Feb-2015 11:39:12:159, INFO, getting County Level META Control: Number of Households by Persons per Households simple incidence table.
20-Feb-2015 11:39:12:289, INFO, getting County Level META Control: Number of Households by number of workers simple incidence table.
20-Feb-2015 11:39:12:407, INFO, getting County Level META Control: Number of persons by age group count incidence table.
20-Feb-2015 11:39:12:701, INFO, getting County Level META Control: Number of persons by occupation category count incidence table.
20-Feb-2015 11:39:13:050, INFO, combining final incidence tables.
20-Feb-2015 11:39:13:052, INFO, balancing incidence table 0 has 2282 rows and 1 columns.  Input table columns [ 0 ] were added to final incidence.
20-Feb-2015 11:39:13:054, INFO, balancing incidence table 1 has 2282 rows and 4 columns.  Input table columns [ 0 1 2 3 ] were added to final incidence.
20-Feb-2015 11:39:13:055, INFO, balancing incidence table 2 has 2282 rows and 4 columns.  Input table columns [ 0 1 2 3 ] were added to final incidence.
20-Feb-2015 11:39:13:057, INFO, balancing incidence table 3 has 2282 rows and 4 columns.  Input table columns [ 0 1 2 3 ] were added to final incidence.
20-Feb-2015 11:39:13:059, INFO, balancing incidence table 4 has 2282 rows and 3 columns.  Input table columns [ 0 1 2 ] were added to final incidence.
20-Feb-2015 11:39:13:060, INFO, balancing incidence table 5 has 2282 rows and 6 columns.  Input table columns [ 0 1 2 3 4 5 ] were added to final incidence.
20-Feb-2015 11:39:13:062, INFO, balancing incidence table total households control index = 0.
20-Feb-2015 11:39:13:188, INFO, getting MAZ Level Control: Total Number of Households simple incidence table.
20-Feb-2015 11:39:13:373, INFO, getting TAZ Level Control: Number of Households by Household Income simple incidence table.
20-Feb-2015 11:39:13:563, INFO, getting County Level META Control: Number of Households by Persons per Households simple incidence table.
20-Feb-2015 11:39:13:751, INFO, getting County Level META Control: Number of Households by number of workers simple incidence table.
20-Feb-2015 11:39:13:941, INFO, getting County Level META Control: Number of persons by age group count incidence table.
20-Feb-2015 11:39:14:271, INFO, getting County Level META Control: Number of persons by occupation category count incidence table.
20-Feb-2015 11:39:14:603, INFO, combining final incidence tables.
20-Feb-2015 11:39:14:605, INFO, balancing incidence table 0 has 1689 rows and 1 columns.  Input table columns [ 0 ] were added to final incidence.
20-Feb-2015 11:39:14:607, INFO, balancing incidence table 1 has 1689 rows and 4 columns.  Input table columns [ 0 1 2 3 ] were added to final incidence.
20-Feb-2015 11:39:14:608, INFO, balancing incidence table 2 has 1689 rows and 4 columns.  Input table columns [ 0 1 2 3 ] were added to final incidence.
20-Feb-2015 11:39:14:610, INFO, balancing incidence table 3 has 1689 rows and 4 columns.  Input table columns [ 0 1 2 3 ] were added to final incidence.
20-Feb-2015 11:39:14:611, INFO, balancing incidence table 4 has 1689 rows and 3 columns.  Input table columns [ 0 1 2 ] were added to final incidence.
20-Feb-2015 11:39:14:613, INFO, balancing incidence table 5 has 1689 rows and 6 columns.  Input table columns [ 0 1 2 3 4 5 ] were added to final incidence.
20-Feb-2015 11:39:14:614, INFO, balancing incidence table total households control index = 0.
20-Feb-2015 11:39:14:743, INFO, getting MAZ Level Control: Total Number of Households simple incidence table.
20-Feb-2015 11:39:14:937, INFO, getting TAZ Level Control: Number of Households by Household Income simple incidence table.
20-Feb-2015 11:39:15:136, INFO, getting County Level META Control: Number of Households by Persons per Households simple incidence table.
20-Feb-2015 11:39:15:333, INFO, getting County Level META Control: Number of Households by number of workers simple incidence table.
20-Feb-2015 11:39:15:536, INFO, getting County Level META Control: Number of persons by age group count incidence table.
20-Feb-2015 11:39:15:885, INFO, getting County Level META Control: Number of persons by occupation category count incidence table.
20-Feb-2015 11:39:16:245, INFO, combining final incidence tables.
20-Feb-2015 11:39:16:247, INFO, balancing incidence table 0 has 2570 rows and 1 columns.  Input table columns [ 0 ] were added to final incidence.
20-Feb-2015 11:39:16:249, INFO, balancing incidence table 1 has 2570 rows and 4 columns.  Input table columns [ 0 1 2 3 ] were added to final incidence.
20-Feb-2015 11:39:16:250, INFO, balancing incidence table 2 has 2570 rows and 4 columns.  Input table columns [ 0 1 2 3 ] were added to final incidence.
20-Feb-2015 11:39:16:251, INFO, balancing incidence table 3 has 2570 rows and 4 columns.  Input table columns [ 0 1 2 3 ] were added to final incidence.
20-Feb-2015 11:39:16:252, INFO, balancing incidence table 4 has 2570 rows and 3 columns.  Input table columns [ 0 1 2 ] were added to final incidence.
20-Feb-2015 11:39:16:254, INFO, balancing incidence table 5 has 2570 rows and 6 columns.  Input table columns [ 0 1 2 3 4 5 ] were added to final incidence.
20-Feb-2015 11:39:16:256, INFO, balancing incidence table total households control index = 0.
20-Feb-2015 11:39:16:382, INFO, getting MAZ Level Control: Total Number of Households simple incidence table.
20-Feb-2015 11:39:16:561, INFO, getting TAZ Level Control: Number of Households by Household Income simple incidence table.
20-Feb-2015 11:39:16:740, INFO, getting County Level META Control: Number of Households by Persons per Households simple incidence table.
20-Feb-2015 11:39:16:920, INFO, getting County Level META Control: Number of Households by number of workers simple incidence table.
20-Feb-2015 11:39:17:116, INFO, getting County Level META Control: Number of persons by age group count incidence table.
20-Feb-2015 11:39:17:431, INFO, getting County Level META Control: Number of persons by occupation category count incidence table.
20-Feb-2015 11:39:17:747, INFO, combining final incidence tables.
20-Feb-2015 11:39:17:748, INFO, balancing incidence table 0 has 1227 rows and 1 columns.  Input table columns [ 0 ] were added to final incidence.
20-Feb-2015 11:39:17:750, INFO, balancing incidence table 1 has 1227 rows and 4 columns.  Input table columns [ 0 1 2 3 ] were added to final incidence.
20-Feb-2015 11:39:17:752, INFO, balancing incidence table 2 has 1227 rows and 4 columns.  Input table columns [ 0 1 2 3 ] were added to final incidence.
20-Feb-2015 11:39:17:752, INFO, balancing incidence table 3 has 1227 rows and 4 columns.  Input table columns [ 0 1 2 3 ] were added to final incidence.
20-Feb-2015 11:39:17:754, INFO, balancing incidence table 4 has 1227 rows and 3 columns.  Input table columns [ 0 1 2 ] were added to final incidence.
20-Feb-2015 11:39:17:755, INFO, balancing incidence table 5 has 1227 rows and 6 columns.  Input table columns [ 0 1 2 3 4 5 ] were added to final incidence.
20-Feb-2015 11:39:17:757, INFO, balancing incidence table total households control index = 0.
20-Feb-2015 11:39:17:879, INFO, getting MAZ Level Control: Total Number of Households simple incidence table.
20-Feb-2015 11:39:18:062, INFO, getting TAZ Level Control: Number of Households by Household Income simple incidence table.
20-Feb-2015 11:39:18:248, INFO, getting County Level META Control: Number of Households by Persons per Households simple incidence table.
20-Feb-2015 11:39:18:432, INFO, getting County Level META Control: Number of Households by number of workers simple incidence table.
20-Feb-2015 11:39:18:618, INFO, getting County Level META Control: Number of persons by age group count incidence table.
20-Feb-2015 11:39:18:947, INFO, getting County Level META Control: Number of persons by occupation category count incidence table.
20-Feb-2015 11:39:19:286, INFO, combining final incidence tables.
20-Feb-2015 11:39:19:288, INFO, balancing incidence table 0 has 1616 rows and 1 columns.  Input table columns [ 0 ] were added to final incidence.
20-Feb-2015 11:39:19:289, INFO, balancing incidence table 1 has 1616 rows and 4 columns.  Input table columns [ 0 1 2 3 ] were added to final incidence.
20-Feb-2015 11:39:19:291, INFO, balancing incidence table 2 has 1616 rows and 4 columns.  Input table columns [ 0 1 2 3 ] were added to final incidence.
20-Feb-2015 11:39:19:292, INFO, balancing incidence table 3 has 1616 rows and 4 columns.  Input table columns [ 0 1 2 3 ] were added to final incidence.
20-Feb-2015 11:39:19:294, INFO, balancing incidence table 4 has 1616 rows and 3 columns.  Input table columns [ 0 1 2 ] were added to final incidence.
20-Feb-2015 11:39:19:295, INFO, balancing incidence table 5 has 1616 rows and 6 columns.  Input table columns [ 0 1 2 3 4 5 ] were added to final incidence.
20-Feb-2015 11:39:19:296, INFO, balancing incidence table total households control index = 0.
20-Feb-2015 11:39:19:422, INFO, getting MAZ Level Control: Total Number of Households simple incidence table.
20-Feb-2015 11:39:19:612, INFO, getting TAZ Level Control: Number of Households by Household Income simple incidence table.
20-Feb-2015 11:39:19:807, INFO, getting County Level META Control: Number of Households by Persons per Households simple incidence table.
20-Feb-2015 11:39:19:997, INFO, getting County Level META Control: Number of Households by number of workers simple incidence table.
20-Feb-2015 11:39:20:188, INFO, getting County Level META Control: Number of persons by age group count incidence table.
